,is_accepted,score,creation_date,answer_id,question_id
0,True,441,2013-11-23,20159305,20109391
1,False,81,2015-05-24,30424537,20109391
2,False,59,2016-07-19,38466059,20109391
3,True,1052,2013-02-27,15112149,15112125
4,False,114,2013-07-12,17604212,15112125
5,False,75,2015-08-19,32085628,15112125
6,True,907,2014-04-25,23294659,23294658
7,False,52,2016-01-14,34789951,23294658
8,False,26,2015-06-29,31105868,23294658
9,True,396,2009-09-03,1373185,1373164
10,False,108,2009-09-03,1373198,1373164
11,False,85,2009-09-03,1373201,1373164
12,True,5954,2009-02-04,509295,509211
13,False,643,2009-02-04,509297,509211
14,False,483,2009-02-04,509377,509211
15,True,728,2008-10-27,240205,240178
16,False,165,2013-08-27,18454568,240178
17,False,67,2008-10-27,240215,240178
18,True,1813,2009-07-18,1145781,1132941
19,False,309,2009-07-15,1133013,1132941
20,False,283,2012-07-10,11416002,1132941
21,True,3832,2010-04-10,2612815,2612802
22,False,713,2010-04-10,2612990,2612802
23,False,177,2013-07-23,17810305,2612802
24,True,1052,2018-12-06,53645883,53645882
25,False,85,2019-04-26,55858991,53645882
26,False,43,2021-09-09,69115959,53645882
27,True,405,2017-11-07,47152692,47152691
28,False,17,2020-06-05,62219652,47152691
29,False,6,2021-02-17,66237613,47152691
